BORO,BLOCK,FROM_LOT,TO_LOT,FILING YEAR,REGULATED,UNREGULATED,OFFICE,OWNER/RELATED SPACE,GOV. RENTAL SUBSIDIES,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,AMORTIZED LEASE AND TENANT IMP. COSTS,REPAIRS AND MAINT.,tract_10
1,00447,0025,,2021,3674.0,,,,,93074.0,96825.0,,28456.0,
1,01079,0061,,2021,,,,,,295046.0,15020.0,,7709.0,
1,01000,0029,,2021,,,129305065.0,,,159048807.0,39952316.0,11508372.0,5936267.0,
1,01000,0061,,2021,,,,,714647.0,714647.0,1236523.0,,62443.0,
1,01001,1001,1001,2021,,,,,,3625614.0,296800.0,76509.0,7819.0,
1,01001,1002,1002,2021,,,5732942.0,,,6250719.0,5976876.0,1318212.0,1295230.0,
1,01001,0001,,2021,,,,,,1898244.0,762461.0,190019.0,238354.0,
1,01001,0157,,2021,,63144.0,,,,391906.0,197940.0,,20840.0,
1,00100,1201,1201,2021,50162571.0,,,,,42271550.0,14064665.0,24743.0,1732253.0,
1,01001,0029,,2021,,,186829898.0,56743.0,,206605459.0,48829309.0,8561178.0,5543890.0,
1,01001,0004,,2021,,,,,,177000.0,117464.0,65799.0,6027.0,
1,01001,0058,,2021,,62589.0,,,,197172.0,187146.0,,45620.0,
1,01002,1001,1001,2021,,,171592030.0,,,206362347.0,60847585.0,15342235.0,9067946.0,
1,01002,0001,,2021,,,,,,2689301.0,41639561.0,,5612667.0,
1,01003,1448,1448,2021,,,,,,,83125.0,,6314.0,
1,01003,0029,,2021,,,79382643.0,,,94285090.0,53989294.0,6153889.0,9732690.0,
1,01004,0020,,2021,,,106418357.0,,,131087204.0,69619877.0,28721673.0,3534748.0,
1,01004,0029,,2021,,,119757811.0,,,145403926.0,41825948.0,11995144.0,4402117.0,
1,01005,1002,1002,2021,,,168371.0,,,2178968.0,440318.0,,77494.0,
1,01005,0029,,2021,,,99560879.0,,,109799319.0,36669404.0,12416482.0,3753536.0,
1,01006,1002,1002,2021,,,,,,,1659570.0,,586607.0,
1,01006,1003,1003,2021,,,,,,,232990.0,,9255.0,
1,01006,0013,,2021,,,42652833.0,1882027.0,,49351364.0,18871221.0,6684655.0,1783366.0,
1,01007,0001,,2021,2259619.0,,,,,2732840.0,972259.0,,126556.0,
1,01007,0029,,2021,,,122006976.0,,,164091289.0,58071911.0,4874009.0,9478520.0,
1,01007,0061,,2021,581580.0,2692889.0,123600.0,,,3423411.0,2811666.0,,352504.0,
1,01008,1001,1001,2021,,,,,,,172982.0,39195.0,,
1,01008,1102,1102,2021,,,15202739.0,,,16939665.0,10639923.0,3404442.0,748911.0,
1,01008,1601,1601,2021,1160699.0,,,,,1160699.0,586891.0,,57348.0,
1,01008,1602,1602,2021,,,,,,441095.0,184208.0,30639.0,47353.0,
1,01008,0019,,2021,,,48515236.0,,,62435966.0,10239790.0,3094281.0,1062600.0,
1,01008,0026,,2021,543923.0,424313.0,,,,1461331.0,1058227.0,,67062.0,
1,01008,0037,,2021,,,223368.0,,,228343.0,1741990.0,165159.0,146229.0,
1,01009,1001,1001,2021,,,11461378.0,1868574.0,,14917650.0,7640946.0,2105440.0,744322.0,
1,01009,0046,,2021,122654.0,869415.0,881382.0,99600.0,,2218977.0,1861859.0,84735.0,154163.0,
1,01009,0050,,2021,,,,,,1143691.0,749667.0,66176.0,54956.0,
1,01010,1301,1301,2021,,,,,,2025999.0,278302.0,,,
1,01010,0145,,2021,,,,,,10000.0,50287.0,,3340.0,
1,01010,1602,1602,2021,,,,,,320646.0,26527.0,,3015.0,
1,01010,0021,,2021,,,3271335.0,,,3797931.0,1999735.0,184624.0,221256.0,
1,01010,0023,,2021,8579.0,3230.0,,,,77875.0,15422.0,,272.0,
1,01010,0024,,2021,,181952.0,,,,231952.0,92900.0,,24747.0,
1,01010,0045,,2021,15692.0,,,,,15692.0,33723.0,,,
1,01010,0051,,2021,169639.0,1247478.0,95400.0,,,1525817.0,1461577.0,,207874.0,
1,01011,0013,,2021,320226.0,3453654.0,22500.0,,,3813471.0,2929203.0,,588793.0,
1,01011,4003,4003,2021,,,,,,667329.0,190429.0,5138.0,23.0,
1,01011,5001,5001,2021,,,366233.0,,,271916.0,507951.0,14340.0,34072.0,
1,01011,5002,5002,2021,,,,,,,161989.0,5788.0,14978.0,
1,01011,7001,7001,2021,,,,,,973624.0,119664.0,,15453.0,
1,01012,1101,1103,2021,,,4423323.0,,,6638698.0,7120468.0,1606004.0,1089242.0,
1,01012,0015,,2021,,,3193040.0,9566348.0,,15145277.0,5544824.0,644228.0,473105.0,
1,01012,0023,,2021,,,2212550.0,,,2446787.0,438770.0,,60302.0,
1,01012,0025,,2021,,,50000.0,,,136200.0,120660.0,5729.0,38505.0,
1,01012,0032,,2021,,,788075.0,,,1390399.0,930624.0,,57935.0,
1,01013,1001,1001,2021,,,,,,861005.0,783796.0,38492.0,57440.0,
1,01013,1002,1002,2021,,,82905286.0,586773.0,,99446417.0,28757555.0,8385854.0,3877232.0,
1,01013,0029,,2021,,,58786347.0,,,75796672.0,16453945.0,,1862719.0,
1,01014,0001,,2021,,,,,,4804623.0,4765615.0,693279.0,1310258.0,
1,01014,0033,,2021,,,15201672.0,34961066.0,,57810013.0,14744524.0,2276138.0,3485841.0,
1,01015,1001,1001,2021,,,1586966.0,,,11520612.0,1858315.0,,228262.0,
1,01015,0029,,2021,,,22080436.0,,,38928614.0,23524583.0,7966930.0,2918728.0,
1,00010,0001,,2021,,,,,,318564.0,130875.0,,1276.0,
1,01015,0059,,2021,,,467074.0,,,919656.0,195832.0,,72289.0,
1,00010,0016,,2021,,,13465419.0,,,16371421.0,7656651.0,2082292.0,1145986.0,
1,01016,0036,,2021,,,68129887.0,,,130072948.0,42966297.0,10818739.0,3832631.0,
1,01017,1001,1001,2021,,,,,,1669551.0,937947.0,,307183.0,
1,01015,0061,,2021,,,45880.0,,,280213.0,145250.0,,55628.0,
1,01017,1002,1002,2021,,,,5500000.0,,46088865.0,9827207.0,3469544.0,135301.0,
1,01018,0061,,2021,,,,,,982419.0,317817.0,2675.0,103962.0,
1,01018,0055,,2021,46314.0,169895.0,,,,216209.0,59548.0,,6903.0,
1,01019,1001,1001,2021,,,,,,6216749.0,1681328.0,390674.0,285472.0,
1,01019,0010,,2021,,,,,,50417.0,505185.0,429670.0,2483.0,
1,01019,1101,1142,2021,,,,,,2078938.0,32599810.0,,9681906.0,
1,01019,0054,,2021,55096.0,9400.0,,147984.0,,212480.0,43719.0,,5384.0,
1,01019,0060,,2021,8426.0,,,,,207987.0,35996.0,11428.0,412.0,
1,01019,0008,,2021,,,,,,685406.0,20105.0,,,
1,01020,0136,,2021,,,,,,242379.0,106624.0,,,
1,01019,0001,,2021,9160001.0,,,,,11258910.0,6885767.0,392632.0,900846.0,36061012500
1,01020,0036,,2021,,,,,,738285.0,337011.0,,,
1,01020,0035,,2021,,,,,,362248.0,163837.0,,,
1,01021,0001,,2021,,17082281.0,,,,21121442.0,6871255.0,,3153754.0,36061012500
1,01021,0043,,2021,,,,,,223413.0,79989.0,17842.0,,
1,01022,0101,,2021,,,,,,,45197.0,,,
1,01022,0035,,2021,,,2382222.0,205738.0,,4527733.0,2389879.0,360439.0,329051.0,
1,01021,0045,,2021,,,36000.0,,,3745999.0,1332092.0,,213741.0,
1,01023,0001,,2021,,292252.0,,,,493824.0,258656.0,13873.0,93464.0,
1,01023,0051,,2021,69476.0,164715.0,,7050.0,,603202.0,261322.0,,38039.0,
1,01023,0053,,2021,,,,,,620634.0,213505.0,96950.0,,
1,01023,0059,,2021,,,,,,369542.0,40500.0,,653.0,
1,01022,0043,,2021,,,160999808.0,1213462.0,,193191189.0,51181031.0,19949076.0,3465331.0,
1,01023,0006,,2021,223285.0,1434642.0,,,,1845891.0,498359.0,,98903.0,
1,01024,0131,,2021,,,376405.0,,,817067.0,1028255.0,83187.0,166867.0,
1,01024,0015,,2021,,,55234040.0,,,65405114.0,15046655.0,3989291.0,1982429.0,
1,01024,0038,,2021,,34548025.0,4387258.0,,,42837818.0,17920434.0,5303180.0,1669299.0,
1,01024,0052,,2021,,23090783.0,,,,24591138.0,11893455.0,371891.0,783096.0,
1,01023,0061,,2021,81692.0,7481051.0,,,,8175382.0,3037947.0,30277.0,439391.0,
1,01025,1011,1011,2021,,57675.0,,,,57675.0,23667.0,,7103.0,
1,01025,1001,1001,2021,,,,,,20403.0,10359.0,6736.0,,
1,01025,1013,1013,2021,,,,,,13920.0,4572.0,,34.0,
1,01025,0025,,2021,,,28340752.0,,,34574043.0,9610059.0,444833.0,929678.0,
1,01025,0019,,2021,50845.0,377108.0,,,,516543.0,329350.0,9821.0,44310.0,
1,01025,0051,,2021,,,,,,383382.0,99501.0,,30529.0,
1,01025,0054,,2021,,,4599509.0,,,5059446.0,1011911.0,124836.0,230438.0,
1,01026,1002,1002,2021,,,,,,1318630.0,294065.0,43128.0,33412.0,
1,01026,1003,1003,2021,129638.0,7200576.0,,,,7408097.0,2771425.0,273957.0,315549.0,
1,01026,0035,,2021,9508.0,,,,,9508.0,74286.0,,8657.0,
1,01026,0036,,2021,,,,,,250407.0,84911.0,,46161.0,
1,01026,0037,,2021,93374.0,,,,,320243.0,429002.0,,102976.0,
1,01026,0055,,2021,,,79498960.0,,,95904546.0,24293938.0,9741226.0,687204.0,
