,BORO,BLOCK,FROM_LOT,TO_LOT,FILING YEAR,REGULATED,UNREGULATED,OFFICE,OWNER/RELATED SPACE,GOV. RENTAL SUBSIDIES,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,AMORTIZED LEASE AND TENANT IMP. COSTS,REPAIRS AND MAINT.,tract_10,repairs_percent_of_expenses,expenses_percent_of_income
0,1,447,25,,2021,3674.0,,,,,93074.0,96825.0,,28456.0,,29.38910405370514,104.03012656595827
1,1,1079,61,,2021,,,,,,295046.0,15020.0,,7709.0,,51.32490013315579,5.090731614731262
2,1,1000,29,,2021,,,129305065.0,,,159048807.0,39952316.0,11508372.0,5936267.0,,14.858380175006625,25.11953201887267
3,1,1000,61,,2021,,,,,714647.0,714647.0,1236523.0,,62443.0,,5.049885849272517,173.02570359911957
4,1,1001,1001,1001.0,2021,,,,,,3625614.0,296800.0,76509.0,7819.0,,2.634433962264151,8.186199634048192
5,1,1001,1002,1002.0,2021,,,5732942.0,,,6250719.0,5976876.0,1318212.0,1295230.0,,21.670685488539497,95.61901598840069
6,1,1001,1,,2021,,,,,,1898244.0,762461.0,190019.0,238354.0,,31.261139914041504,40.16664875537602
7,1,1001,157,,2021,,63144.0,,,,391906.0,197940.0,,20840.0,,10.528442962513893,50.507009333870876
8,1,100,1201,1201.0,2021,50162571.0,,,,,42271550.0,14064665.0,24743.0,1732253.0,,12.316347385451413,33.27217714987977
9,1,1001,29,,2021,,,186829898.0,56743.0,,206605459.0,48829309.0,8561178.0,5543890.0,,11.353611413997278,23.63408461535375
10,1,1001,4,,2021,,,,,,177000.0,117464.0,65799.0,6027.0,,5.130933732888375,66.36384180790961
11,1,1001,58,,2021,,62589.0,,,,197172.0,187146.0,,45620.0,,24.376689857116904,94.9150995070294
12,1,1002,1001,1001.0,2021,,,171592030.0,,,206362347.0,60847585.0,15342235.0,9067946.0,,14.90272128302216,29.48579810443811
13,1,1002,1,,2021,,,,,,2689301.0,41639561.0,,5612667.0,,13.479169485000094,1548.3414091617115
14,1,1003,1448,1448.0,2021,,,,,,,83125.0,,6314.0,,7.59578947368421,
15,1,1003,29,,2021,,,79382643.0,,,94285090.0,53989294.0,6153889.0,9732690.0,,18.02707403434466,57.26175156644597
16,1,1004,20,,2021,,,106418357.0,,,131087204.0,69619877.0,28721673.0,3534748.0,,5.0772109235412755,53.109590315161505
